Time,TV,Radio,OOH,Social Media,Print,Others,sales
01/01/2001,119.652,66.729,43.719,37.8,20,33.50256,22100
01/02/2001,23.14,12.905,8.455,39.3,20,6.4792,10400
01/03/2001,8.944,4.988,3.268,45.9,20,2.50432,9300
01/04/2001,78.78,43.935,28.785,41.3,20,22.0584,18500
01/05/2001,94.016,52.432,34.352,10.8,20,26.32448,12900
01/06/2001,4.524,2.523,1.653,48.9,20,1.26672,7200
01/07/2001,29.9,16.675,10.925,32.8,20,8.372,11800
01/08/2001,62.504,34.858,22.838,19.6,20,17.50112,13200
01/09/2001,4.472,2.494,1.634,2.1,20,1.25216,4800
01/10/2001,103.896,57.942,37.962,2.6,20,29.09088,10600
01/11/2001,10,19.169,59.49,5.8,20,33.50256,8600
01/12/2001,10,62.263,193.23,24,20,33.50256,17400
01/01/2002,10,6.902,21.42,35.1,20,33.50256,9200
01/02/2002,10,28.275,87.75,7.6,20,33.50256,9700
01/03/2002,10,59.189,183.69,32.9,20,33.50256,19000
01/04/2002,10,56.666,175.86,47.7,20,33.50256,22400
01/05/2002,10,19.662,61.02,36.6,20,33.50256,12500
01/06/2002,10,81.606,253.26,39.6,20,33.50256,24400
01/07/2002,10,20.068,62.28,20.5,20,33.50256,11300
01/08/2002,10,42.717,132.57,23.9,20,33.50256,14600
01/09/2002,10,63.336,196.56,27.7,20,33.50256,18000
01/10/2002,10,68.846,213.66,5.1,20,33.50256,12500
01/11/2002,10,3.828,11.88,15.9,20,0,5600
01/12/2002,10,66.207,205.47,16.9,20,0,15500
01/01/2003,10,18.067,56.07,12.6,20,0,9700
01/02/2003,10,76.241,236.61,3.5,20,0,12000
01/03/2003,10,71.45,128.61,29.3,20,0,15000
01/04/2003,10,120.05,216.09,16.7,20,0,15900
01/05/2003,10,124.4,223.92,27.1,20,0,18900
01/06/2003,28.24,35.3,7.06,16,20,7.9072,10500
01/07/2003,117.16,146.45,29.29,28.3,20,32.8048,21400
01/08/2003,45.16,56.45,11.29,17.4,20,12.6448,11900
01/09/2003,38.88,48.6,9.72,1.5,20,10.8864,9600
01/10/2003,106.24,132.8,26.56,20,20,29.7472,17400
01/11/2003,38.28,47.85,9.57,1.4,20,10.7184,9500
01/12/2003,116.28,145.35,29.07,4.1,20,32.5584,12800
01/01/2004,106.76,133.45,26.69,43.8,20,29.8928,25400
01/02/2004,29.88,37.35,7.47,49.4,20,8.3664,14700
01/03/2004,17.24,21.55,4.31,26.7,20,4.8272,10100
01/04/2004,91.2,114,22.8,37.7,20,25.536,21500
01/05/2004,81,101.25,20.25,22.3,20,22.68,16600
01/06/2004,70.8,88.5,17.7,33.4,20,19.824,17100
01/07/2004,117.44,146.8,29.36,27.7,20,32.8832,20700
01/08/2004,82.76,103.45,20.69,8.4,20,23.1728,12900
01/09/2004,10.04,12.55,2.51,25.7,20,2.8112,8500
01/10/2004,70.04,87.55,17.51,22.5,20,19.6112,14900
01/11/2004,35.88,44.85,8.97,9.9,20,10.0464,10600
01/12/2004,95.96,119.95,23.99,41.5,20,26.8688,23200
01/01/2005,90.88,113.6,22.72,15.8,20,25.4464,14800
01/02/2005,26.76,33.45,6.69,11.7,20,7.4928,9700
01/03/2005,79.92,99.9,19.98,3.1,20,22.3776,11400
01/04/2005,40.16,50.2,10.04,9.6,20,11.2448,10700
01/05/2005,86.56,108.2,21.64,41.7,20,24.2368,22600
01/06/2005,73.04,91.3,18.26,46.2,20,20.4512,21200
01/07/2005,105.08,131.35,26.27,28.8,20,29.4224,20200
01/08/2005,79.56,99.45,19.89,49.4,20,22.2768,23700
01/09/2005,2.92,3.65,0.73,28.1,20,0.8176,5500
01/10/2005,54.48,68.1,13.62,19.2,20,15.2544,13200
01/11/2005,84.32,105.4,21.08,49.6,20,23.6096,23800
01/12/2005,84.28,105.35,21.07,29.5,20,23.5984,18400
01/01/2006,21.4,26.75,5.35,2,20,5.992,8100
01/02/2006,104.52,130.65,26.13,42.7,20,29.2656,24200
01/03/2006,95.72,119.65,23.93,15.5,20,26.8016,15700
01/04/2006,41.08,51.35,10.27,29.6,20,11.5024,14000
01/05/2006,52.44,65.55,13.11,42.8,20,14.6832,18000
01/06/2006,27.6,34.5,6.9,9.3,20,7.728,9300
01/07/2006,12.6,15.75,3.15,24.6,20,3.528,9500
01/08/2006,55.72,69.65,13.93,14.5,20,15.6016,13400
01/09/2006,94.96,118.7,23.74,27.5,20,26.5888,18900
01/10/2006,86.72,108.4,21.68,43.9,20,24.2816,22300
01/11/2006,99.55,0,99.55,30.6,20,27.874,18300
01/12/2006,54.9,0,54.9,14.3,20,15.372,12400
01/01/2007,13.4,0,13.4,33,20,3.752,8800
01/02/2007,64.7,0,64.7,5.7,20,18.116,11000
01/03/2007,106.7,0,106.7,24.6,20,29.876,17000
01/04/2007,8.45,0,8.45,43.7,20,2.366,8700
01/05/2007,13.75,0,13.75,1.6,20,3.85,6900
01/06/2007,60.25,0,60.25,28.5,20,16.87,14200
01/07/2007,2.7,0,2.7,29.9,20,0.756,5300
01/08/2007,58,0,58,7.7,20,16.24,11000
01/09/2007,38.2,0,38.2,26.7,20,10.696,11800
01/10/2007,119.9,0,119.9,4.1,20,33.572,12300
01/11/2007,37.65,0,37.65,20.3,20,10.542,11300
01/12/2007,34.2,0,34.2,44.5,20,9.576,13600
01/01/2008,106.75,0,106.75,43,20,29.89,21700
01/02/2008,96.6,0,96.6,18.4,20,27.048,15200
01/03/2008,38.15,0,38.15,27.5,20,10.682,12000
01/04/2008,55.35,0,55.35,40.6,20,15.498,16000
01/05/2008,44.15,0,44.15,25.5,20,12.362,12900
01/06/2008,54.9,0,54.9,47.8,20,15.372,16700
01/07/2008,67.15,0,67.15,4.9,20,18.802,11200
01/08/2008,14.3,0,14.3,1.5,20,4.004,7300
01/09/2008,108.85,0,108.85,33.5,20,30.478,19400
